image_id,label,split,num_annot,set_id,video_id,frame_id
set00_V001_0043,"0 0.9132596380002878 0.40396814269354026 0.033100309107358686 0.15682328947500396
",train,1,set00,V001,0043
set00_V001_0044,"0 0.9201749299762035 0.40417785997183425 0.03288458809338018 0.1581873246804563
",train,1,set00,V001,0044
set00_V001_0045,"0 0.9272476390096147 0.4043875772501283 0.032668867079401566 0.15955135988590868
",train,1,set00,V001,0045
set00_V001_0046,"0 0.9336984094848542 0.4093106823792465 0.03279552977316698 0.1705298069585867
",train,1,set00,V001,0046
set00_V001_0047,"0 0.9406430902087917 0.41283289921316346 0.03215564242886584 0.17872091099206056
",train,1,set00,V001,0047
set00_V001_0048,"0 0.9485755914301252 0.41355333945667805 0.02998265500843207 0.1813373289471262
",train,1,set00,V001,0048
set00_V001_0049,"0 0.9565080926514586 0.41427377970019275 0.0278096675879981 0.18395374690219188
",train,1,set00,V001,0049
set00_V001_0050,"0 0.9615773899276236 0.41499421994370733 0.03136308805790158 0.1865701648572576
",train,1,set00,V001,0050
set00_V001_0358,"0 0.7224741502873769 0.3844716783154759 0.03845425565883791 0.15643091625472055
",train,1,set00,V001,0358
set00_V001_0359,"0 0.7270552700698044 0.3838363611736915 0.038458805124884886 0.15827468584186785
",train,1,set00,V001,0359
set00_V001_0360,"0 0.7317475468021951 0.38316411023597224 0.03844872750065064 0.16015376362312778
",train,1,set00,V001,0360
set00_V001_0361,"0 0.7365509804845494 0.3824549255023181 0.03842402278613516 0.16206814959850036
",train,1,set00,V001,0361
set00_V001_0362,"0 0.7414655711168667 0.3817088069727289 0.03838469098133847 0.16401784376798562
",train,1,set00,V001,0362
set00_V001_0363,"0 0.7464913186991476 0.3809257546472048 0.03833073208626053 0.16600284613158353
",train,1,set00,V001,0363
set00_V001_0364,"0 0.7516282232313918 0.3801057685257457 0.03826214610090139 0.16802315668929407
",train,1,set00,V001,0364
set00_V001_0365,"0 0.7568762847135991 0.3792488486083518 0.038178933025261 0.17007877544111727
",train,1,set00,V001,0365
set00_V001_0366,"0 0.7622355031457699 0.3783549948950229 0.038081092859339395 0.17216970238705312
",train,1,set00,V001,0366
set00_V001_0367,"0 0.7677058785279041 0.37742420738575894 0.03796862560313657 0.17429593752710162
",train,1,set00,V001,0367
set00_V001_0368,"0 0.7732874108600015 0.37645648608056015 0.0378415312566525 0.1764574808612628
0 0.8052275192760577 0.3840885325502901 0.030641523841205488 0.15719345038107846
",train,2,set00,V001,0368
set00_V001_0369,"0 0.7789801001420624 0.3754518309794264 0.037699809819887214 0.17865433238953662
0 0.810743469886729 0.3835879880367052 0.02968195642079427 0.15942089978262788
",train,2,set00,V001,0369
set00_V001_0370,"0 0.7847839463740867 0.3744102420823578 0.037543461292840696 0.1808864921119231
0 0.8160545133369865 0.38301823287207326 0.021076587614482813 0.16149753006727283
",train,2,set00,V001,0370
set00_V001_0371,"0 0.7960022817178742 0.3738473148608057 0.03874973391045228 0.18329903734714625
0 0.821365556787244 0.3824484777074412 0.012471218808171437 0.16357416035191777
",train,2,set00,V001,0371
set00_V001_0372,"0 0.8072206170616619 0.37328438763925365 0.03995600652806385 0.18571158258236942
0 0.8266766002375017 0.38187872254280925 0.003865850001859908 0.16565079063656274
",train,2,set00,V001,0372
set00_V001_0373,"0 0.8184389524054497 0.37272146041770154 0.04116227914567542 0.1881241278175926
0 0.8323474320184456 0.3808956101299591 0.00356704496854654 0.16707597891968612
",train,2,set00,V001,0373
set00_V001_0374,"0 0.8296572877492374 0.3721585331961495 0.04236855176328699 0.19053667305281574
0 0.8380182637993898 0.37991249771710883 0.0032682399352333747 0.16850116720280942
",train,2,set00,V001,0374
set00_V001_0375,"0 0.8408756230930252 0.37159560597459745 0.043574824380898575 0.1929492182880389
0 0.8436890955803336 0.3789293853042587 0.0029694349019200317 0.16992635548593285
",train,2,set00,V001,0375
set00_V001_0376,"0 0.8520939584368128 0.37103267875304535 0.04478109699851015 0.19536176352326207
0 0.8493599273612777 0.3779462728914085 0.002670629868606689 0.1713515437690562
",train,2,set00,V001,0376
